id_comment,user,id_movie
2270,a4a5c3302c1a89133af88cd68e95be491c411d31c99f4c2b6515203ccf0a1328,1
1206,2bfa250cf626c34d3aaee44d4827e3ba44e99ebce0c04f43d023d36531eef56f,1
669,d8cfd55063d624699d078f06b9e5cf30afff84e9b980707a7c97d6abf2c79e42,1
365,3ebcae8e5b0332dfe09605b6014589eec780332827785b1e64f3e2ff25dcfae3,1
926,e610fd46c2916540260e881555cb3398a17a62c8fd46c678267f42ca321a55fe,1
183,73cb38e08a4e193ffd611b063df1bd9f776d23bd80ce0dd63b812e87cad61445,1
2315,c41370d0fe40d430471e8adcb79791be2e7b0a7d2adf1b309e2a8b4338ea8055,1
1741,437254641857d47671c5faac34e61c4b1fa34ca1573cb83a623f6e0efd0d8c57,1
2686,086c7386105750ddab9ef014b1ece4a6438f0a019a3d97d7c2218e8ac3d0c1ba,1
1423,efaecde656a97cc274299b9789bda4b4e576b104425344b3d8c79d16d45d7054,1
3002,1444ab2d34355a15029320131359dea1cb5ecc2b940b8b435b935eef3a559107,1
2720,3fca97865e47a48da0215e15d974f9a5333fea9636b7b8ff94146e8da4dc6c19,1
29,b019b5fa5287ac14e0768a25aaa537ee9af8043791cb01c74e516191efb03206,1
1999,793ad895f6a84cbf6d060e7721e850b93066244f123a7a5c5601ecf0b01cfba7,1
1225,448932328b969405b752eeaab7f07a32981c38f9251f39e617d981b9640149fa,1
